LncRNA name,Cancer name,Expression pattern,Methods,Pubmed ID,No. of Transcript variants (lncRNAs),LncRNA aliases
LOXL1-AS1,Prostate Cancer,down-regulated,"qRT-PCR , Microarray , Western blot etc.",31188543,5,LOXL1 antisense RNA 1;LOXL1 antisense RNA 1 (non-protein coding);HSALNG0107133;LOXL1-AS1;NONHSAG017388.2;HSALNG0107136
LOXL1-AS1,Prostate Cancer,down-regulated,"qPCR, RNA-seq, Luciferase reporter assay, RNAi, other",30278884,5,LOXL1 antisense RNA 1;LOXL1 antisense RNA 1 (non-protein coding);HSALNG0107133;LOXL1-AS1;NONHSAG017388.2;HSALNG0107136
LSAMP-AS1,Prostate Cancer,down-regulated,"RT-qPCR, Western blot",31727599,1,LSAMP antisense RNA 1;LSAMP antisense RNA 1 (non-protein coding);HSALNG0028218;LSAMP-AS1;NONHSAG035803.2
LSINCT5,Colorectal Cancer,up-regulated,qPCR etc.,25526476,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Ovarian Cancer,up-regulated,"qPCR, Northern blot etc.",21532345,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Epithelial Ovarian Cancer,up-regulated,"qPCR, RNAi etc.",29755595,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Gastric Cancer,up-regulated,"qPCR, Western blot, luciferase reporter assay, ChIP",30127643,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Gastric Cancer,up-regulated,qPCR etc.,25694351,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Gastric Cancer,up-regulated,qPCR etc.,25526476,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, RNAi, RIP",29883241,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Lung Cancer,up-regulated,"qPCR, Northern blot etc.",20214974,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Non Small Cell Lung Cancer,up-regulated,"qPCR, RIP, Microarray, Western blot, etc.",29883241,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30472720,1,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LUADT1,Colorectal Cancer,up-regulated,qPCR etc.,29762830,1,lung adenocarcinoma associated transcript 1;HSALNG0054158;LUADT1;NONHSAG045093.2
LUADT1,Small Cell Lung Cancer,up-regulated,"RT-qPCR, Western blot",31842825,1,lung adenocarcinoma associated transcript 1;HSALNG0054158;LUADT1;NONHSAG045093.2
LUADT1,Lung Adenocarcinoma,up-regulated,"Microarray, qPCR, RNAi, Western blot, RIP, Flow cytometry assay etc.",26291312,1,lung adenocarcinoma associated transcript 1;HSALNG0054158;LUADT1;NONHSAG045093.2
LUCAT1,Colorectal Cancer,up-regulated,"qPCR, RT-PCR, RNA-seq",31964396,2,SCAL1; SCAT5
LUCAT1,Colorectal Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, RIP, etc.",30690837,2,SCAL1; SCAT5
LUCAT1,Ovarian Cancer,up-regulated,RT-qPCR,32141534,2,SCAL1; SCAT5
LUCAT1,Ovarian Cancer,up-regulated,"qPCR, Luciferase reporter assay",30107913,2,SCAL1; SCAT5
LUCAT1,Ovarian Cancer,up-regulated,"RNA-seq, qPCR, Western blot etc.",27193186,2,SCAL1; SCAT5
LUCAT1,Pancreatic Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP etc",31789465,2,SCAL1; SCAT5
LUCAT1,Cervical Cancer,up-regulated,"qPCR, Western blot, RIP, Luciferase reporter assay etc",32207530,2,SCAL1; SCAT5
LUCAT1,Cervical Cancer,up-regulated,"qPCR, RNA-seq",30831032,2,SCAL1; SCAT5
LUCAT1,Cervical Cancer,up-regulated,"qPCR, Western blot, etc.",31486481,2,SCAL1; SCAT5
LUCAT1,Gastric Cancer,up-regulated,"qPCR, Luciferase reporter assay",31545227,2,SCAL1; SCAT5
LUCAT1,Oral Squamous Cell Carcinoma,down-regulated,"qPCR, Western blot, in vitro knockdown",31210306,2,SCAL1; SCAT5
LUCAT1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot",31298373,2,SCAL1; SCAT5
LUCAT1,Non Small Cell Lung Cancer,up-regulated,"qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay, Cell proliferation assay etc.",28423699,2,SCAL1; SCAT5
LUCAT1,Liver Cancer,up-regulated,other,31826070,2,SCAL1; SCAT5
LUCAT1,Hepatoblastoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",30479162,2,SCAL1; SCAT5
LUCAT1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30588744,2,SCAL1; SCAT5
LUCAT1,Prostate Cancer,up-regulated,"qRT-PCR , Western blot etc.",31081080,2,SCAL1; SCAT5
LUNAR1,Colorectal Cancer,up-regulated,RT-PCR,31882986,1,leukemia-associated non-coding IGF1R activator RNA 1;leukemia-induced noncoding activator RNA;HSALNG0108520;NONHSAG018058.2;lnc-IGF1R-1
LUST,Hepatocellular Carcinoma,up-regulated,qPCR etc.,26378581,1,LUST
MACC1-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",30742067,1,MACC1 antisense RNA 1;MACC1 antisense RNA 1 (non-protein coding);HSALNG0056473;MACC1-AS1;NONHSAG047054.2
MACC1-AS1,Gastric Cancer,up-regulated,"RNA-seq, qPCR, Western blot, Luciferase reporter assay",29510730,1,MACC1 antisense RNA 1;MACC1 antisense RNA 1 (non-protein coding);HSALNG0056473;MACC1-AS1;NONHSAG047054.2
MAFG-AS1,Gastric Cancer,up-regulated,RT-qPCR,32079456,1,MAFG-AS1
"MAFG-AS1 ",Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Western blotting, in vitro knockdown etc.",31572506,1,MAFG-AS1; MAFG-DT
"MAFG-AS1",Colorectal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, other",30348529,1,MAFG-AS1; MAFG-DT
"MAFG-AS1",Colorectal Cancer,up-regulated,"Microarray, qPCR etc.",27147563,1,MAFG-AS1; MAFG-DT
"MAFG-AS1",Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",30599080,1,MAFG-AS1; MAFG-DT
"MAFG-AS1",Lung Adenocarcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP",31211984,1,MAFG-AS1; MAFG-DT
MAGI1-IT1,Epithelial Ovarian Cancer,down-regulated,"Microarray , qRT-PCR , Western blot , in vitro knockdown etc.",31122127,1,MAGI1 intronic transcript 1;MAGI1 intronic transcript 1 (non-protein coding);NONHSAG035347.2;HSALNG0026614;MAGI1-IT1
MAGI2-AS3,Colorectal Cancer,up-regulated,"qRT-PCR, Western blot",31709544,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,High Grade Ovarian Serous Cancer,down-regulated,"RNA-seq, qRT-PCR",31842477,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Cervical Squamous Cell Carcinoma,up-regulated,"qPCR, Western blot",31832086,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Gastric Cancer,down-regulated,"Microarray, qPCR",31934786,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Gastric Cancer,up-regulated,"RNA-seq, qRT-PCR",31837602,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Non Small Cell Lung Cancer,down-regulated,"qPCR, Western blot",32138716,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Lung Squamous Cell Carcinoma,up-regulated,"RT-qPCR, Western blot",32021443,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Non Small Cell Lung Cancer,down-regulated,qPCR,29922089,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Non Small Cell Lung Cancer,down-regulated,qPCR,31539127,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Non Small Cell Lung Cancer,down-regulated,"qRT-PCR, Western blot",31910343,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,Non Small Cell Lung Cancer,down-regulated,"qPCR, etc.",29922089,4,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MALAT1,Colorectal Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, RNAi",29964337,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"qPCR, Luciferase reporter assay etc",32349546,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,differential expressed,"qPCR, Western blot etc.",32323831,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,differential expressed,"qPCR, Western blot, RIP, Luciferase reporter assay etc",32209115,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colon Cancer,up-regulated,"qPCR, Western blot, Dual luciferase reporter assay",30154407,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",30285605,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",30716387,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",31372165,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,qPCR,31328973,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,differential expression,"qPCR, Western blot, Luciferase reporter assay, RIP",31311811,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colon Cancer,up-regulated,"qPCR, Luciferase reporter assay, Western blot",29226325,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colon Cancer,up-regulated,"Microarray, qPCR, RNAi etc.",25546229,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colon Cancer,down-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",29574704,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"RT-qPCR, Western blot, in vitro knockdown",29328404,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,qPCR etc.,29190941,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,down-regulated,"qPCR, Western blot etc.",26887056,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"Microarray, qPCR etc.",27591862,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,qPCR etc.,27596298,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"qPCR, RIP, in vitro knockdown etc.",25025966,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,qPCR etc.,25031737,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"qPCR, RNAi, Western blot, RIP, ChIP, Cell migration and invasion assay etc.",28069878,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"Microarray, qPCR, Western blot etc.",25446987,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,up-regulated,"qPCR, RNAi, Western blot, RIP, Luciferase reporter assay etc.",24244343,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,differential expression,qPCR etc.,21503572,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Colorectal Cancer,down-regulation,"qPCR, Western blot, etc.",29964337,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"qPCR, Western blot",29949143,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,qPCR,30003749,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,differential expression,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",29874124,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"qPCR, Microarray, other",30294913,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Epithelial Ovarian Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, etc.",30585260,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RNAi, etc.",31496733,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Epithelial Ovarian Cancer,up-regulated,"qPCR, western blot etc.",28770968,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Epithelial Ovarian Cancer,up-regulated,qPCR etc.,27446438,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Epithelial Ovarian Cancer,up-regulated,"qPCR, Western blot, RNAi etc.",29693187,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-Regulated,"qPCR, Luciferase reporter assay etc.",28899458,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"Microarray, qPCR, in vitro knockdown etc.",27313681,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.",28031721,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,down-regulated,"qPCR, Western blot, RIP etc.",29548748,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,qPCR etc.,28587379,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"qPCR, RNAi, Western blot etc.",27565324,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"qPCR, Western blot, Flow cytometry assay, Cell proliferation assay, in vitro knockdown etc.",27227769,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,down-regulated,"Microarray, qPCR etc.",24379988,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"qPCR, Western blot, Flow cytometry, etc.",29949143,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Ovarian Cancer,up-regulated,"qPCR, Luciferase reporter assay etc.",29874124,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Ductal Adenocarcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP, other",30352575,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Ductal Adenocarcinoma,up-regulated,"qPCR, Western blot, RIP, RNA pull-down assay etc.",27371730,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Cancer,up-regulated,"Microarray, qPCR, Western blot etc.",29215734,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Cancer,up-regulated,"qPCR, Western blot etc.",25811929,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Cancer,up-regulated,qPCR etc.,25481511,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Ductal Adenocarcinoma,up-regulated,"qPCR, RNAi, Western blot, Luciferase reporter assay, Flow cytometry assay etc.",28034748,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Ductal Adenocarcinoma,up-regulated,"qPCR, Luciferase report assay etc.",28701723,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Ductal Adenocarcinoma,up-regulated,qPCR etc.,24815433,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Cancer,up-regulated,"Microarray, RT-PCR, Western blot, in vitro knockdown, RNAi",29389953,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Cancer,up-regulated,"qPCR, RNAi, Western blot, RIP, Flow cytometry assay, Cell proliferation assay etc.",26848980,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Pancreatic Cancer,up-regulated,"qPCR, Western blot, Flow cytometry assay etc.",25269958,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qRT-PCR, Western blot",32152961,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"RT-PCR, western-blot",32113834,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, Luciferase reporter assay,",30178834,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",30633360,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, RNAi, Western blot, MTT assay etc.",28252165,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,differential expression,"qPCR, Cell transfection, Western blot, Dual luciferase reporter assay, Flow cytometry assay etc.",27658300,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, RNAi, RIP, Flow cytometry assay, RNA pull-down assay etc.",26311052,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, RNAi, Western blot, Luciferase reporter assay, Flow cytometry assay etc.",26242259,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,down-regulated,"qPCR, Western blot etc.",29704494,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,down-regulated,"qPCR, RNAi, Western blot, Dual luciferase reporter assay etc.",25773124,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, ELISA etc.",27184657,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,down-regulated,qPCR etc.,22487937,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,qPCR etc.,20213048,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,differential expression,"qPCR, Northern blot etc.",22491206,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, RNAi, Western blot etc.",26798987,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, RNAi, Luciferase reporter assay, MTT assay etc.",26400521,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,"qPCR, Cell proliferation assay etc.",26854446,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Cervical Cancer,up-regulated,qPCR etc.,24932303,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qRT-PCR, Western blot",32104001,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qRT-PCR, Western blot",32021298,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, Western blot etc",32214850,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qRT-PCR, western blot analysis, Dual luciferase reporter assay",31926239,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"RT-qPCR, Western blottin",31897197,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"RT-qPCR, Western blotting  etc.",31186750,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qRT-PCR, Western blotting, in vitro knockdown etc.",31037832,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP, other",30365113,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Adenocarcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",31480991,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, Western blot etc.",29162158,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP",28942451,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi, RIP etc.",26871474,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot etc.",24857172,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi etc.",29719612,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot, RIP, Luciferase reporter assay, Cell proliferation assay etc.",27887846,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",28396617,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",27486823,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot, Cell proliferation assay, ISH etc.",28268166,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot etc.",28276823,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot, ChIP etc.",27259812,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,qPCR etc.,26096073,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Gastric Cancer,up-regulated,"qPCR, RNAi etc.",25280565,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Head And Neck Squamous Cell Carcinoma,up-regulated,"qPCR, in vitro knockdown",32366409,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Laryngeal And Hypopharyngeal Carcinoma,up-regulated,"qPCR, RNAi etc",31792655,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Tongue Squamous Cell Carcinoma,up-regulated,"qPCR, Luciferase reporter assay, Western blot",30863103,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Laryngeal Squamous Cell Cancer,up-regulated,"RT-PCR, Western blotting",31837057,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Head And Neck Squamous Cell Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, ChIP",30118844,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Tongue Squamous Cell Carcinoma,up-regulated,"qPCR, Western blot, etc.",30657561,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Oral Squamous Cell Carcinoma,up-regulated,qPCR,31360193,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Laryngeal Squamous Cell Cancer,up-regulated,qPCR etc.,25257554,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Tongue Cancer,up-regulated,"qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.",28260102,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Oral Squamous Cell Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP etc.",28926115,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Tongue Squamous Cell Carcinoma,up-regulated,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",27586393,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Tongue Squamous Cell Carcinoma,up-regulated,"qPCR, RNAi, Western blot etc.",27353727,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Oral Squamous Cell Carcinoma,up-regulated,"qPCR, RNAi, Western blot etc.",26522444,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay etc.",28857668,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Nasopharyngeal Cancer,differential expression,"Microarray, qPCR, Luciferase reporter assay, Cell migration and invasion assay etc.",27584791,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, RIP, Luciferase reporter assay etc.",26482776,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Nasopharyngeal Cancer,down-regulated,qPCR etc.,28467811,3,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
